#      O         NLL         <E>      <|M|>
18.141305   19.256556   -1.984847   0.995425   
18.180385   19.268332   -1.969086   0.991484   
18.028190   19.068792   -1.973862   0.992678   
17.963255   19.054213   -1.972763   0.992403   
17.956291   19.053555   -1.975046   0.992974   
18.105823   19.245176   -1.980033   0.994221   
18.088800   19.242565   -1.979926   0.994194   
18.250543   19.312984   -1.978403   0.993813   
18.082068   19.215599   -1.980576   0.994274   
18.054662   19.101587   -1.976402   0.993313   
18.002989   19.085991   -1.984866   0.995429   
17.958947   19.046076   -1.986400   0.995810   
18.151148   19.263243   -1.988779   0.996408   
17.989923   19.077305   -1.979915   0.994192   
18.096730   19.223791   -1.977286   0.993534   
18.340463   19.328800   -1.989331   0.996545   
18.180398   19.268175   -1.979269   0.994030   
18.013607   19.087713   -1.984537   0.995347   
18.041657   19.099232   -1.978531   0.993846   
17.855626   18.885109   -1.980496   0.994337   
17.964595   19.072962   -1.982147   0.994750   
17.900873   18.896999   -1.971248   0.992025   
18.104484   19.226191   -1.979217   0.994017   
17.960946   19.072517   -1.981217   0.994517   
18.018129   19.088160   -1.980436   0.994322   
18.022075   19.095228   -1.979526   0.994094   
18.059242   19.100159   -1.983273   0.995031   
17.942844   18.931435   -1.966791   0.990910   
18.117112   19.227592   -1.976440   0.993314   
17.975308   18.962317   -1.988688   0.996385   
18.000067   19.085400   -1.979377   0.994057   
18.022089   19.093857   -1.976368   0.993305   
17.917594   18.927500   -1.978239   0.993772   
18.017796   19.095285   -1.982008   0.994715   
17.942589   18.936563   -1.976334   0.993296   
17.971774   18.969519   -1.981291   0.994536   
17.922770   18.928017   -1.976912   0.993441   
17.807534   18.816221   -1.983517   0.995088   
17.959236   18.966581   -1.984198   0.995262   
17.787193   18.813131   -1.974281   0.992783   
17.784276   18.812859   -1.985641   0.995623   
17.958425   18.966402   -1.985388   0.995560   
17.642599   18.724232   -1.976780   0.993408   
17.860997   18.905483   -1.978339   0.993798   
17.767093   18.810459   -1.981647   0.994624   
17.679597   18.729830   -1.983660   0.995128   
17.627932   18.664145   -1.974606   0.992864   
17.877711   18.913546   -1.983521   0.995093   
17.714157   18.790464   -1.972543   0.992349   
17.772454   18.812078   -1.981945   0.994699   
17.853712   18.885784   -1.980392   0.994270   
17.900042   18.897839   -1.983116   0.994992   
17.897728   18.897812   -1.973660   0.992628   
17.762664   18.804256   -1.982172   0.994720   
17.842864   18.881676   -1.984815   0.995416   
17.910353   18.898573   -1.986056   0.995727   
17.821274   18.880379   -1.984676   0.995382   
17.724680   18.791336   -1.976184   0.993259   
17.803293   18.815380   -1.978262   0.993778   
17.930548   18.901524   -1.985617   0.995617   
17.759040   18.809208   -1.969603   0.991475   
17.786130   18.812979   -1.981162   0.994503   
17.711977   18.743668   -1.989697   0.996637   
17.531961   18.507318   -1.981837   0.994672   
17.749240   18.747898   -1.984205   0.995263   
17.691640   18.712252   -1.972150   0.992156   
17.720866   18.742617   -1.980802   0.994413   
17.786182   18.758841   -1.980542   0.994348   
17.662939   18.701267   -1.979085   0.993984   
17.676014   18.704052   -1.975609   0.993079   
17.649344   18.700844   -1.974128   0.992722   
17.438828   18.453947   -1.979044   0.993974   
17.708736   18.735897   -1.977581   0.993608   
17.529629   18.534613   -1.971453   0.992047   
17.546218   18.537567   -1.986641   0.995873   
17.566154   18.538710   -1.983422   0.995068   
17.531957   18.535143   -1.969973   0.991703   
17.631370   18.667225   -1.973759   0.992653   
17.621554   18.664980   -1.980540   0.994347   
17.558950   18.545040   -1.986800   0.995913   
17.644197   18.674944   -1.985389   0.995537   
17.562029   18.545340   -1.978406   0.993814   
17.492670   18.516701   -1.984084   0.995234   
17.519989   18.526575   -1.984531   0.995346   
17.515200   18.531755   -1.974185   0.992759   
17.493149   18.516390   -1.975134   0.992996   
17.510170   18.531548   -1.982400   0.994813   
17.523523   18.532637   -1.979065   0.993979   
17.525406   18.532604   -1.979440   0.994073   
17.584991   18.653795   -1.982076   0.994732   
17.561630   18.538280   -1.988302   0.996119   
17.528175   18.534008   -1.978828   0.993920   
